spectrum_id,intensity_w_cm2,a0_value,a0_sigma,fit_min_ev,fit_max_ev,window_mode,n_points_fit,slope,intercept,r2,temperature_k,qfls_effective_ev,qfls_ev,mu_e_ev,mu_h_ev,carrier_density_cm3,mu_e_fd_ev,mu_h_fd_ev,carrier_density_fd_cm3,temperature_err_chi2_k,temperature_err_range_k,temperature_err_a0_k,temperature_err_total_k,qfls_effective_err_chi2_ev,qfls_effective_err_range_ev,qfls_effective_err_a0_ev,qfls_effective_err_total_ev,qfls_err_chi2_ev,qfls_err_range_ev,qfls_err_a0_ev,qfls_err_total_ev,mu_e_err_chi2_ev,mu_e_err_range_ev,mu_e_err_a0_ev,mu_e_err_total_ev,mu_h_err_chi2_ev,mu_h_err_range_ev,mu_h_err_a0_ev,mu_h_err_total_ev,carrier_density_err_chi2_cm3,carrier_density_err_range_cm3,carrier_density_err_a0_cm3,carrier_density_err_total_cm3,fit_range_samples,laser_wavelength_nm,laser_photon_energy_ev,absorptivity_at_laser,absorptivity_at_laser_sigma,plqy_eta,plqy_eta_sigma,active_layer_thickness_nm,active_layer_thickness_cm,absorbed_power_w_cm2,absorbed_power_err_w_cm2,absorbed_power_w_cm3,absorbed_power_err_w_cm3,absorbed_photon_flux_cm2_s,absorbed_photon_flux_err_cm2_s,radiative_photon_flux_cm2_s,radiative_photon_flux_err_cm2_s,nonradiative_photon_flux_cm2_s,nonradiative_photon_flux_err_cm2_s,recombination_energy_nonrad_ev,recombination_energy_rad_ev,recombination_energy_avg_ev,thermalized_energy_per_pair_ev,nonradiative_power_w_cm2,radiative_power_w_cm2,recombination_power_w_cm2,recombination_power_err_w_cm2,thermalized_power_w_cm2,thermalized_power_err_w_cm2,nonradiative_power_w_cm3,radiative_power_w_cm3,recombination_power_w_cm3,recombination_power_err_w_cm3,thermalized_power_w_cm3,thermalized_power_err_w_cm3,thermalized_power_per_carrier_ev_s,thermalized_power_per_carrier_err_ev_s,power_balance_closure_w_cm2,power_balance_closure_w_cm3,carrier_balance_closure_cm2_s,thermalized_fraction,recombination_fraction,radiative_fraction,nonradiative_fraction
0,94.5839419,0.507,0.027712812921102045,1.4655342489162535,1.7030796354164155,auto_peak_offset|aicc,60,-2.4231023594965074e+20,42.847592436291066,0.9998300099522199,298.9131056578611,1.1036827889742002,1.1211789929294846,0.5994185588816904,0.5217604340477943,5472147464667608.0,0.5994730243196994,0.5217059686097852,5451626377039022.0,0.5117756564577346,0.9221038544326761,0.0,1.0546041157241626,0.0008215803222298637,0.0014904420234463764,0.0,0.0017018847349718651,0.0007919536669183669,0.0014365038135772845,0.001407960582683367,0.0021617323653398022,0.0003304058996624139,0.0005985667200427208,0.0007039802913416835,0.0009813452132007123,0.0004618078067275152,0.0008379647782364303,0.0007039802913416835,0.0011878719082951787,18905712188576.67,28151790286932.34,149554949386650.78,153351335617791.06,2071,532.0,2.3305300457368467,0.6,0.0,0.0,0.0,950.0,9.499999999999999e-05,56.75036514,0.0,597372.264631579,0.0,1.5198599119037805e+20,0.0,0.0,0.0,1.5198599119037805e+20,0.0,1.501275015436298,1.4497583384787658,1.501275015436298,0.8292550303005488,36.55730826445188,0.0,36.55730826445188,0.006638921896209425,20.193056875548116,0.006638921896209425,384813.7712047567,0.0,384813.7712047567,69.88338838115185,212558.4934268223,69.88338838115185,242443350.46584973,6794694.466716458,0.0,1.1641532182693481e-10,0.0,0.35582250133074855,0.6441774986692514,0.0,0.6441774986692514
1,133.106541,0.507,0.027712812921102045,1.4690070788899887,1.7030796354164155,auto_peak_offset|aicc,59,-2.4090446898662362e+20,43.7092579259547,0.9998617251504306,300.6573745397015,1.132447775379129,1.1500460761763782,0.6140786824916843,0.5359673936846939,9970136985113900.0,0.6141774297565896,0.5358686464197886,9914170998677764.0,0.4683128324961291,0.4402385766412634,0.0,0.6427494950940631,0.0007058539988919622,0.0007165561274693347,0.0,0.001005824314463328,0.0006787712981520505,0.000690788603007119,0.0014161765551005936,0.0017156559691430364,0.0002794750183942981,0.00028820927880802646,0.0007080882775502968,0.0008139778148707016,0.000399575472760525,0.0004025799880236442,0.0007080882775502968,0.0009072597279682708,31285813896933.09,33891799871174.48,272485964400391.5,276362184542156.03,2096,532.0,2.3305300457368467,0.6,0.0,0.0,0.0,950.0,9.499999999999999e-05,79.86392459999999,0.0,840672.8905263158,0.0,2.138875707802118e+20,0.0,0.0,0.0,2.138875707802118e+20,0.0,1.5017259438239061,1.4499086479413017,1.5017259438239061,0.8288041019129406,51.46199585231979,0.0,51.46199585231979,0.005694188364625912,28.401928747680202,0.005694188364625912,541705.2194981031,0.0,541705.2194981031,59.93882489079908,298967.6710282127,59.93882489079908,187159858.93464354,5188019.027244938,0.0,-1.1641532182693481e-10,0.0,0.3556290138498929,0.644370986150107,0.0,0.644370986150107
2,172.255523,0.507,0.027712812921102045,1.462077800215979,1.7220027424765978,auto_peak_offset|aicc,65,-2.394420855799215e+20,44.130197825509995,0.9998158948381684,302.49362798931793,1.150336748523403,1.1680425302716708,0.6233154403981619,0.5447270898735089,1.4673145058755602e+16,0.6234600274762033,0.5445825027954675,1.4562870923276634e+16,0.5171528473361113,0.553087713793953,0.0,0.7572008232019225,0.0007545251363869182,0.000840424446940941,0.0,0.0011294341204584196,0.0007247266177214488,0.0008081091178157504,0.0014248257994058453,0.0017912000377912646,0.0002965204759403547,0.00033237194057006593,0.0007124128997029227,0.0008401950006952746,0.00042862089049727124,0.0004757866345933452,0.0007124128997029227,0.0009579253254254539,54128422274138.98,56859792989754.734,401020181632660.3,408631996096019.25,2086,532.0,2.3305300457368467,0.6,0.0,0.0,0.0,950.0,9.499999999999999e-05,103.35331380000001,0.0,1087929.6189473686,0.0,2.7679567879346297e+20,0.0,0.0,0.0,2.7679567879346297e+20,0.0,1.5022006520617794,1.450066884020593,1.5022006520617794,0.8283293936750673,66.61892888577532,0.0,66.61892888577532,0.008681103231484834,36.73438491422469,0.008681103231484834,701251.8830081613,0.0,701251.8830081613,91.38003401562983,386677.7359392073,91.38003401562983,164480933.57574868,4580789.7236948805,0.0,0.0,0.0,0.3554253227459136,0.6445746772540863,0.0,0.6445746772540863
3,255.564558,0.507,0.027712812921102045,1.4586376171566475,1.7267994074974242,auto_peak_offset|aicc,67,-2.3747230615548268e+20,44.605577315872225,0.9998086578853429,305.00274466942074,1.1723729814890245,1.190225628718771,0.6347329259769235,0.5554927027418474,2.3589509176854468e+16,0.6349635296073415,0.5552620991114294,2.3329017251565932e+16,0.5233520229898503,0.3251831046129004,0.0,0.6161504617325652,0.0007212038078028103,0.0004897141197151618,0.0,0.0008717538938471504,0.0006911323980007269,0.00047068505483872854,0.001436644409282997,0.0016622742165896887,0.0002791980055090677,0.0001931144610979963,0.0007183222046414985,0.0007945007936096941,0.0004124610059574748,0.0002775746992382638,0.0007183222046414985,0.0008735894829802425,87628163097386.12,61779987405923.97,644706324762841.8,653560790593276.8,2105,532.0,2.3305300457368467,0.6,0.0,0.0,0.0,950.0,9.499999999999999e-05,153.3387348,0.0,1614091.945263158,0.0,4.106641347410459e+20,0.0,0.0,0.0,4.106641347410459e+20,0.0,1.502849308900561,1.4502831029668537,1.502849308900561,0.8276807368362857,98.8809442913688,0.0,98.8809442913688,0.01048040561579052,54.45779050863119,0.01048040561579052,1040852.0451723033,0.0,1040852.0451723033,110.32005911358442,573239.9000908547,110.32005911358442,151672593.58539745,4202276.989901996,0.0,0.0,0.0,0.3551469925694939,0.6448530074305061,0.0,0.6448530074305061
4,409.02857,0.507,0.027712812921102045,1.4655342489162535,1.73162286952954,auto_peak_offset|aicc,66,-2.378341048037609e+20,45.625419787840244,0.999849268073512,304.53876755884784,1.1973533899473925,1.215178879324226,0.6471492802649466,0.5680295990592794,3.760614918122745e+16,0.6475149374736988,0.5676639418505272,3.697975383708336e+16,0.46739919199031865,0.3572570759257202,0.0,0.5882980732351574,0.0006163143229619939,0.0005116084404014543,0.0,0.0008009909743424762,0.0005894991143388883,0.0004907155133667045,0.0014344589531400946,0.0016266479056971297,0.00023561595343146114,0.000199002003991488,0.0007172294765700473,0.0007807270951907514,0.00035441851028121855,0.0002917301210983034,0.0007172294765700473,0.0008515498024466526,129676188147519.06,110392243675559.05,1027784130180253.9,1041797763237460.5,2102,532.0,2.3305300457368467,0.6,0.0,0.0,0.0,950.0,9.499999999999999e-05,245.41714199999998,0.0,2583338.3368421053,0.0,6.572639222666287e+20,0.0,0.0,0.0,6.572639222666287e+20,0.0,1.5027293615389266,1.4502431205129755,1.5027293615389266,0.8278006841979202,158.24535100201442,0.0,158.24535100201442,0.01601554631018363,87.17179099798557,0.01601554631018363,1665740.5368633098,0.0,1665740.5368633098,168.58469800193296,917597.7999787956,168.58469800193296,152294109.34028402,4219074.673314486,0.0,0.0,0.0,0.35519846041555475,0.6448015395844453,0.0,0.6448015395844453
5,610.097744,0.507,0.027712812921102045,1.4724964068683497,1.7364733537579138,auto_peak_offset|aicc,65,-2.379911029628598e+20,46.39488099705652,0.9999251254492533,304.33786918371635,1.2167432611833624,1.2345569914272605,0.6568122394495156,0.5777447519777449,5.421723108873762e+16,0.6573358201124372,0.5772211713148233,5.2960534859214344e+16,0.3317944330883787,0.3465345329524385,0.0,0.4797642424743671,0.00042340599010370195,0.00045740869485216563,0.0,0.0006232939487770259,0.000404391744394388,0.0004371546728518302,0.0014335126681229565,0.0015522871707900972,0.00016029229246928046,0.00017364873790081954,0.0007167563340614783,0.0007547099745046798,0.00024451586243092344,0.0002635354680078686,0.0007167563340614783,0.0008018594591920171,137703301644630.6,138339752970148.28,1481768609038982.5,1494569602684664.0,2191,532.0,2.3305300457368467,0.6,0.0,0.0,0.0,950.0,9.499999999999999e-05,366.0586464,0.0,3853248.9094736846,0.0,9.803599689563532e+20,0.0,0.0,0.0,9.803599689563532e+20,0.0,1.5026774252914166,1.4502258084304722,1.5026774252914166,0.8278526204454302,236.02702109944144,0.0,236.02702109944144,0.019481302187422018,130.03162530055855,0.019481302187422018,2484494.958941489,0.0,2484494.958941489,205.06633881496862,1368753.9505321954,205.06633881496862,157571495.83991474,4343730.60545294,0.0,0.0,0.0,0.3552207455809424,0.6447792544190576,0.0,0.6447792544190576
6,918.278535,0.507,0.027712812921102045,1.4795250293355018,1.73162286952954,auto_peak_offset|aicc,62,-2.3820340241040078e+20,47.13243147541872,0.9999352159520307,304.0666272079944,1.2349844535318075,1.252782307238884,0.6658896627958315,0.5868926444430524,7.64180163232377e+16,0.6666210267938487,0.5861612804450352,7.39948784740923e+16,0.31596664609097863,0.2835925867769491,0.0,0.4245699903629826,0.00038604528885295486,0.00037141358097364627,0.0,0.0005357042217280247,0.0003679383195638312,0.0003548327435212,0.0014322350459546505,0.0015207176298507746,0.0001440819122993024,0.00014063202120739063,0.0007161175229773252,0.0007438825643580308,0.00022427434173317155,0.00021421947564954138,0.0007161175229773252,0.0007803930233046627,184092815344200.66,178759203323531.4,2088520914491460.2,2104225422264084.0,2192,532.0,2.3305300457368467,0.6,0.0,0.0,0.0,950.0,9.499999999999999e-05,550.967121,0.0,5799653.9052631585,0.0,1.4755726027826216e+21,0.0,0.0,0.0,1.4755726027826216e+21,0.0,1.502607303816432,1.4502024346054772,1.502607303816432,0.8279227419204147,355.23559187393255,0.0,355.23559187393255,0.025948628854249194,195.73152912606747,0.025948628854249194,3739322.0197256063,0.0,3739322.0197256063,273.14346162367576,2060331.8855375524,273.14346162367576,168279429.10202265,4633749.654541798,0.0,0.0,0.0,0.3552508337898941,0.6447491662101059,0.0,0.6447491662101059
7,1242.7453,0.507,0.027712812921102045,1.4724964068683497,1.73162286952954,auto_peak_offset|aicc,64,-2.3686401554411582e+20,47.25398378851203,0.999916583125183,305.7860223893283,1.245170854436891,1.263069349060016,0.671256534578446,0.59181281448157,9.54157131683797e+16,0.6721602628022516,0.5909090862577644,9.174146707706606e+16,0.35470462971695926,0.3310590242408586,0.0,0.4851963024116678,0.0004154245077328616,0.00042659702755116157,0.0,0.0005954515476011268,0.00039515826486026594,0.0004072312279790566,0.001440333856597449,0.0015480791148354102,0.0001530040873170358,0.00016064611409599352,0.0007201669282987245,0.0007535634209043605,0.00024271557603942797,0.0002465974366920291,0.0007201669282987245,0.0007989753132922511,250627834292363.12,268733774693304.97,2607732090907497.0,2633495549821905.0,2195,532.0,2.3305300457368467,0.6,0.0,0.0,0.0,950.0,9.499999999999999e-05,745.64718,0.0,7848917.684210528,0.0,1.9969550055058946e+21,0.0,0.0,0.0,1.9969550055058946e+21,0.0,1.5030518018550385,1.4503506006183462,1.5030518018550385,0.8274782438818082,480.8976136125207,0.0,480.8976136125207,0.04013195342745994,264.7495663874794,0.04013195342745994,5062080.143289692,0.0,5062080.143289692,422.4416150258941,2786837.540920836,422.4416150258941,182297770.70376316,5031536.131692383,0.0,0.0,0.0,0.3550601054877983,0.6449398945122017,0.0,0.6449398945122017
8,1866.62349,0.507,0.027712812921102045,1.486621072641667,1.7220027424765978,auto_peak_offset|aicc,58,-2.3740963060241056e+20,47.8943732584578,0.9999534928200718,305.083264636796,1.2591450673241562,1.2770024276084493,0.6781317850328666,0.5988706425755826,1.2306906653636227e+17,0.6792855461701206,0.5977168814383287,1.1708401869384952e+17,0.27803180143185596,0.22120665767628547,0.0,0.35529433996020304,0.0003157349064841439,0.00026904112109800524,0.0,0.00041481520706722244,0.00029980488858908743,0.00025610749873185534,0.0014370236798403513,0.0014901379394373217,0.00011484059777715828,9.93615250390959e-05,0.0007185118399201756,0.0007343843269442684,0.00018536972524166572,0.00015676161896502789,0.0007185118399201756,0.0007584163792549468,251851956400759.2,216793871757567.38,3363504309848620.5,3379880209880931.5,2207,532.0,2.3305300457368467,0.6,0.0,0.0,0.0,950.0,9.499999999999999e-05,1119.974094,0.0,11789200.989473684,0.0,2.9994586354503873e+21,0.0,0.0,0.0,2.9994586354503873e+21,0.0,1.502870124922355,1.450290041640785,1.502870124922355,0.8276599208144917,722.228666237774,0.0,722.228666237774,0.04414034298884351,397.745427762226,0.04414034298884351,7602407.0130292,0.0,7602407.0130292,464.63518935624757,4186793.976444484,464.63518935624757,212335344.14722252,5831472.579346606,0.0,0.0,0.0,0.35513806068645193,0.6448619393135481,0.0,0.6448619393135481
9,2380.25814,0.507,0.027712812921102045,1.4830645628985055,1.7364733537579138,auto_peak_offset|aicc,62,-2.370524853969236e+20,48.19080518847229,0.9999321879157768,305.5429055684525,1.2688470546334296,1.2867313189621898,0.6830559384511736,0.6036753805110162,1.4900222246933542e+17,0.6844375888834086,0.6022937300787813,1.4041819176677077e+17,0.32483652143678365,0.24594835670807755,0.0,0.4074424619827366,0.0003641427658497733,0.00030153597044188876,0.0,0.00047278313780321573,0.00034560564439807615,0.0002871515964180196,0.0014391887114221413,0.0015077013788712108,0.0001320730537367403,0.00011166184026763619,0.0007195943557110707,0.0007400862752858844,0.00021410145834356906,0.00017550247052231224,0.0007195943557110707,0.0007710101091396331,375205426948072.56,320852763929822.3,4072263141253774.0,4102079070440591.5,2211,532.0,2.3305300457368467,0.6,0.0,0.0,0.0,950.0,9.499999999999999e-05,1428.1548839999998,0.0,15033209.305263158,0.0,3.824813022482684e+21,0.0,0.0,0.0,3.824813022482684e+21,0.0,1.502988951295025,1.450329650431675,1.502988951295025,0.8275410944418218,921.0355452471181,0.0,921.0355452471181,0.06454773898580045,507.11933875288173,0.06454773898580045,9695111.002601244,0.0,9695111.002601244,679.4498840610574,5338098.302661913,679.4498840610574,223605986.838785,6156010.472734046,0.0,0.0,0.0,0.35508707384211263,0.6449129261578874,0.0,0.6449129261578874
